2017-10-13 23:20:24 [Pulse :338 , BPM :48]
2017-10-13 23:20:24 [Pulse :335 , BPM :48]
2017-10-13 23:20:24 [Pulse :335 , BPM :48]
2017-10-13 23:20:24 [Pulse :338 , BPM :48]
2017-10-13 23:20:24 [Pulse :340 , BPM :48]
2017-10-13 23:20:24 [Pulse :341 , BPM :48]
2017-10-13 23:20:24 [Pulse :340 , BPM :48]
2017-10-13 23:20:24 [Pulse :339 , BPM :48]
2017-10-13 23:20:24 [Pulse :340 , BPM :48]
2017-10-13 23:20:24 [Pulse :342 , BPM :48]
